flight_id,received_at,rssi,SYS,SRC,SEQ,St,ALT,Max,G,Pg,T,Batt,MET,Vel,Gmx,Gmn,Wmx,Gyx,Gyy,Gyz,Mgx,Mgy,Mgz
2026-08-25-F1,2026-08-25T21:04:08.520Z,-83,7,1,488,2,632,772,1.6,10.4,29.7,4.14,14,-26.7,1.7,1.6,247.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.603Z,-86,7,1,489,2,629,772,1.6,10.4,29.7,4.14,14,-28.3,1.7,1.6,159.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.705Z,-90,7,1,490,2,626,772,1.8,10.4,29.7,4.14,14,-27.2,1.8,1.6,180.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.808Z,-87,7,1,491,2,623,772,1.7,10.4,29.7,4.14,14,-27.8,1.9,1.7,147.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:08.912Z,-83,7,1,492,2,621,772,1.2,10.4,29.7,4.14,14,-26.7,1.4,1.2,141.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.015Z,-81,7,1,493,2,619,772,1.3,10.4,29.7,4.14,14,-24.7,1.3,1.2,147.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.117Z,-85,7,1,494,2,616,772,1.8,10.4,29.7,4.14,14,-25.1,2.1,1.8,225.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.220Z,-90,7,1,495,2,613,772,1.7,10.4,29.7,4.14,15,-26.3,1.9,1.7,248.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.323Z,-91,7,1,496,2,611,772,1.7,10.4,29.7,4.14,15,-26.8,1.8,1.7,209.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.426Z,-86,7,1,497,2,608,772,1.2,10.4,29.7,4.14,15,-27.0,1.4,1.2,252.8,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.529Z,-81,7,1,498,2,605,772,1.4,10.4,29.7,4.14,15,-27.5,1.4,1.4,259.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.632Z,-79,7,1,499,2,603,772,2.6,10.4,29.7,4.14,15,-26.2,2.6,1.9,265.1,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.735Z,-78,7,1,500,2,600,772,2.3,10.4,29.7,4.15,15,-27.1,2.4,2.3,200.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.837Z,-81,7,1,501,2,597,772,1.5,10.4,29.7,4.14,15,-28.3,1.9,1.5,221.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:09.940Z,-82,7,1,502,2,593,772,1.5,10.4,29.7,4.14,15,-30.0,1.5,1.4,210.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:10.043Z,-84,7,1,503,2,590,772,1.6,10.4,29.7,4.15,15,-31.9,1.6,1.4,211.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:10.146Z,-83,7,1,504,2,587,772,1.6,10.4,29.7,4.14,15,-30.0,1.6,1.3,269.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:10.253Z,-82,7,1,505,2,585,772,1.6,10.4,29.7,4.15,16,-28.5,1.9,1.6,284.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:10.336Z,-83,7,1,506,2,582,772,1.6,10.4,29.7,4.14,16,-28.9,1.8,1.6,300.8,,,,,,
2026-08-25-F1,2026-08-25T21:04:10.440Z,-87,7,1,507,2,579,772,1.5,10.4,29.7,4.14,16,-28.3,1.7,1.5,307.0,,,,,,
2026-08-25-F1,2026-08-25T21:04:10.543Z,-92,7,1,508,2,576,772,1.7,10.4,29.7,4.14,16,-29.2,1.7,1.6,317.6,,,,,,
